SUBMISSION_DATETIME,FORM_TYPE,VP_REGION_NAME,DF_MARKET_NAME,LOCATION_NAME,CLASS,FIELD_INTELLIGENCE_TRANSLATED,TMO_NAME,PRODUCT_CATEGORY_NAME,PMI_PRODUCT_NAME,BRAND_NAME,BRAND_NAME_FROM,BRAND_NAME_TO
2024-04-18 00:00:00,INFRA_MAINTENANCE,Latin America,USA,Location_F,Regulatory,Service quality issues reported at retail locations,,Heated Tobacco,,,,
2024-06-05 00:00:00,INFRA_MAINTENANCE,Latin America,Germany,Location_D,Consumer Behavior,Price sensitivity observed among younger demographics,,Heated Tobacco,,,,
2024-10-20 00:00:00,BRAND_SOURCING,North America,Australia,Location_E,Competition,Competitor promotion impacting market share,,Heated Tobacco,,,Brand_X,IQOS
2023-06-09 00:00:00,CROSS_CATEGORY,Latin America,Australia,Location_D,Product Quality,Stock shortage observed for premium product line,,Accessories,,,,
2024-06-28 00:00:00,CONSUMER_FEEDBACK,Africa,Japan,Location_C,Competition,Positive brand perception following marketing campaign,,E-Cigarettes,IQOS,,,
2024-02-21 00:00:00,BRAND_SOURCING,Asia Pacific,Germany,Location_E,Availability,Service training needs identified for retail staff,,E-Cigarettes,,,Competitor_2,PMI_Brand_1
2023-03-31 00:00:00,INFRA_MAINTENANCE,Europe,Italy,Location_B,Regulatory,Positive feedback on new product launch in the region,,E-Cigarettes,,,,
2024-09-08 00:00:00,TOBACCO_CATEGORY,Europe,South Africa,Location_B,Competition,Product availability issues during peak season,TMO_Epsilon,Accessories,,PMI_Brand_2,,
2023-10-04 00:00:00,INFRA_MAINTENANCE,North America,Brazil,Location_B,Competition,Market expansion opportunities identified in urban areas,,E-Cigarettes,,,,
2024-11-19 00:00:00,CROSS_CATEGORY,Latin America,Germany,Location_A,Consumer Behavior,Service quality issues reported at retail locations,,Accessories,,,,
2024-01-04 00:00:00,INFRA_MAINTENANCE,North America,Japan,Location_A,Regulatory,New product category showing strong adoption,,Traditional,,,,
2023-03-03 00:00:00,TOBACCO_CATEGORY,North America,UK,Location_E,Availability,Market research indicates growth opportunity,TMO_Alpha,Accessories,,Marlboro,,
2024-03-20 00:00:00,CONSUMER_FEEDBACK,Asia Pacific,Canada,Location_G,Service,Consumer switching behavior analysis shows retention improvement,,Accessories,Marlboro,,,
2024-05-20 00:00:00,INFRA_MAINTENANCE,Africa,Japan,Location_D,Pricing,Consumer preference shift towards premium products,,E-Cigarettes,,,,
2024-04-13 00:00:00,TOBACCO_CATEGORY,Africa,France,Location_H,Pricing,Regulatory changes affecting product availability,TMO_Epsilon,Nicotine Pouches,,PMI_Brand_3,,
2023-07-05 00:00:00,BRAND_SOURCING,Africa,Japan,Location_G,Competition,Product availability issues during peak season,,E-Cigarettes,,,Brand_Y,IQOS
2023-01-09 00:00:00,BRAND_SOURCING,Europe,USA,Location_E,Regulatory,Regulatory changes affecting product availability,,Nicotine Pouches,,,Brand_Y,PMI_Brand_1
2024-09-25 00:00:00,BRAND_SOURCING,Africa,South Africa,Location_F,Availability,Customer satisfaction high with recent product improvements,,Nicotine Pouches,,,Brand_X,IQOS
2024-10-18 00:00:00,CONSUMER_FEEDBACK,Africa,Brazil,Location_D,Regulatory,Market research indicates growth opportunity,,Nicotine Pouches,Parliament,,,
2023-07-01 00:00:00,CROSS_CATEGORY,Europe,Italy,Location_C,Consumer Behavior,Stock shortage observed for premium product line,,Nicotine Pouches,,,,
2024-10-14 00:00:00,BRAND_SOURCING,Latin America,Italy,Location_D,Service,Customer satisfaction high with recent product improvements,,Nicotine Pouches,,,Competitor_2,PMI_Brand_1
2023-01-01 00:00:00,CROSS_CATEGORY,Africa,Canada,Location_G,Service,New product category showing strong adoption,,Traditional,,,,
2023-04-27 00:00:00,BRAND_SOURCING,Latin America,South Africa,Location_H,Regulatory,Product availability issues during peak season,,Accessories,,,Brand_B,IQOS
2023-08-15 00:00:00,CROSS_CATEGORY,Latin America,Canada,Location_B,Consumer Behavior,Market expansion opportunities identified in urban areas,,Traditional,,,,
2024-06-09 00:00:00,CONSUMER_FEEDBACK,Africa,UK,Location_F,Availability,Competitive pricing pressure in premium segment,,Traditional,Marlboro,,,
2023-01-12 00:00:00,BRAND_SOURCING,Latin America,Australia,Location_D,Competition,Customer satisfaction high with recent product improvements,,Heated Tobacco,,,Brand_A,IQOS
2023-03-31 00:00:00,BRAND_SOURCING,Latin America,Germany,Location_D,Service,Service quality issues reported at retail locations,,Traditional,,,Brand_A,PMI_Brand_3
2024-05-16 00:00:00,CONSUMER_FEEDBACK,North America,USA,Location_E,Service,Distribution challenges in remote locations,,Accessories,Philip Morris,,,
2024-07-11 00:00:00,CROSS_CATEGORY,Africa,UK,Location_B,Availability,Service quality issues reported at retail locations,,Traditional,,,,
2024-03-25 00:00:00,BRAND_SOURCING,Europe,South Africa,Location_G,Pricing,Customer reported price increase concern affecting purchase decisions,,Heated Tobacco,,,Competitor_2,PMI_Brand_1
2023-10-09 00:00:00,CONSUMER_FEEDBACK,Asia Pacific,USA,Location_E,Pricing,Positive feedback on new product launch in the region,,Traditional,Marlboro,,,
2024-05-25 00:00:00,CONSUMER_FEEDBACK,Africa,France,Location_F,Service,New product category showing strong adoption,,Nicotine Pouches,Philip Morris,,,
2024-03-12 00:00:00,INFRA_MAINTENANCE,Africa,South Africa,Location_B,Product Quality,Market research indicates growth opportunity,,Traditional,,,,
2023-03-26 00:00:00,CONSUMER_FEEDBACK,North America,Japan,Location_E,Competition,Competitor promotion impacting market share,,Traditional,IQOS,,,
2024-05-02 00:00:00,BRAND_SOURCING,Latin America,Australia,Location_G,Product Quality,Positive feedback on new product launch in the region,,E-Cigarettes,,,Brand_Z,PMI_Brand_2
2023-09-25 00:00:00,CONSUMER_FEEDBACK,Latin America,South Africa,Location_F,Regulatory,New product category showing strong adoption,,Nicotine Pouches,Philip Morris,,,
2024-07-31 00:00:00,CROSS_CATEGORY,Asia Pacific,France,Location_F,Service,Positive feedback on new product launch in the region,,Heated Tobacco,,,,
2023-04-08 00:00:00,BRAND_SOURCING,Asia Pacific,Japan,Location_G,Product Quality,Consumer preference shift towards premium products,,Traditional,,,Competitor_1,PMI_Brand_1
2023-12-01 00:00:00,TOBACCO_CATEGORY,Europe,Japan,Location_A,Competition,Competitor promotion impacting market share,TMO_Beta,Traditional,,PMI_Brand_3,,
2024-05-22 00:00:00,TOBACCO_CATEGORY,Africa,Germany,Location_F,Competition,Positive feedback on new product launch in the region,TMO_Epsilon,E-Cigarettes,,IQOS,,
2023-04-21 00:00:00,CONSUMER_FEEDBACK,Asia Pacific,UK,Location_H,Service,Customer satisfaction high with recent product improvements,,Accessories,IQOS,,,
2023-07-14 00:00:00,CROSS_CATEGORY,Asia Pacific,Germany,Location_E,Product Quality,Market research indicates growth opportunity,,E-Cigarettes,,,,
2023-01-05 00:00:00,BRAND_SOURCING,Latin America,Italy,Location_E,Regulatory,Strong consumer interest in new heated tobacco category,,Traditional,,,Brand_B,PMI_Brand_1
2024-06-07 00:00:00,BRAND_SOURCING,Europe,USA,Location_F,Product Quality,Distribution challenges in remote locations,,E-Cigarettes,,,Brand_X,PMI_Brand_2
2023-09-06 00:00:00,CONSUMER_FEEDBACK,Asia Pacific,USA,Location_B,Service,Customer reported price increase concern affecting purchase decisions,,Traditional,Marlboro,,,
2023-09-10 00:00:00,TOBACCO_CATEGORY,Europe,France,Location_F,Product Quality,Distribution challenges in remote locations,TMO_Beta,E-Cigarettes,,PMI_Brand_1,,
2023-01-07 00:00:00,CROSS_CATEGORY,Asia Pacific,Germany,Location_B,Regulatory,Stock shortage observed for premium product line,,E-Cigarettes,,,,
2023-01-15 00:00:00,CONSUMER_FEEDBACK,Africa,Italy,Location_G,Pricing,New product category showing strong adoption,,Heated Tobacco,Parliament,,,
2024-06-20 00:00:00,CONSUMER_FEEDBACK,Africa,Brazil,Location_A,Service,Price sensitivity observed among younger demographics,,E-Cigarettes,IQOS,,,
2023-04-19 00:00:00,BRAND_SOURCING,Latin America,UK,Location_B,Consumer Behavior,Customer satisfaction high with recent product improvements,,Traditional,,,Brand_A,PMI_Brand_3
2024-07-07 00:00:00,CONSUMER_FEEDBACK,Africa,UK,Location_D,Product Quality,Positive feedback on new product launch in the region,,E-Cigarettes,Marlboro,,,
2024-01-12 00:00:00,CONSUMER_FEEDBACK,Africa,UK,Location_E,Regulatory,Strong consumer interest in new heated tobacco category,,Accessories,Marlboro,,,
2024-03-21 00:00:00,CONSUMER_FEEDBACK,Asia Pacific,Japan,Location_G,Competition,Competitor promotion impacting market share,,Heated Tobacco,Parliament,,,
2023-03-16 00:00:00,TOBACCO_CATEGORY,North America,Australia,Location_F,Availability,Positive feedback on new product launch in the region,TMO_Gamma,Heated Tobacco,,Brand_Z,,
2023-06-22 00:00:00,TOBACCO_CATEGORY,Africa,UK,Location_B,Regulatory,Competitor promotion impacting market share,TMO_Gamma,Accessories,,Brand_X,,
2024-06-15 00:00:00,CONSUMER_FEEDBACK,Latin America,USA,Location_B,Regulatory,Strong consumer interest in new heated tobacco category,,Nicotine Pouches,Marlboro,,,
2024-05-25 00:00:00,TOBACCO_CATEGORY,Africa,Japan,Location_A,Regulatory,Service training needs identified for retail staff,TMO_Beta,Nicotine Pouches,,Competitor_2,,
2024-10-11 00:00:00,TOBACCO_CATEGORY,Europe,Australia,Location_B,Service,Customer reported price increase concern affecting purchase decisions,TMO_Epsilon,Traditional,,Brand_X,,
2024-07-03 00:00:00,CROSS_CATEGORY,North America,South Africa,Location_F,Service,Positive brand perception following marketing campaign,,Heated Tobacco,,,,
2023-11-30 00:00:00,INFRA_MAINTENANCE,Asia Pacific,Canada,Location_B,Service,Stock shortage observed for premium product line,,E-Cigarettes,,,,
2024-05-27 00:00:00,TOBACCO_CATEGORY,Africa,Australia,Location_C,Pricing,Service quality issues reported at retail locations,TMO_Delta,E-Cigarettes,,Brand_B,,
2023-06-14 00:00:00,INFRA_MAINTENANCE,Asia Pacific,Italy,Location_F,Service,Distribution challenges in remote locations,,Heated Tobacco,,,,
2023-03-30 00:00:00,BRAND_SOURCING,Asia Pacific,UK,Location_A,Consumer Behavior,Retail partner feedback on product performance,,Traditional,,,Brand_X,PMI_Brand_1
2023-08-13 00:00:00,BRAND_SOURCING,Africa,Australia,Location_H,Availability,Regulatory changes affecting product availability,,E-Cigarettes,,,Competitor_1,PMI_Brand_3
2024-01-26 00:00:00,CROSS_CATEGORY,Europe,Brazil,Location_G,Consumer Behavior,Customer reported price increase concern affecting purchase decisions,,Accessories,,,,
2024-04-22 00:00:00,CROSS_CATEGORY,Latin America,UK,Location_A,Pricing,Service quality issues reported at retail locations,,E-Cigarettes,,,,
2023-10-16 00:00:00,TOBACCO_CATEGORY,Europe,Italy,Location_E,Availability,Price sensitivity observed among younger demographics,TMO_Alpha,Nicotine Pouches,,Brand_A,,
2023-08-04 00:00:00,TOBACCO_CATEGORY,Africa,Australia,Location_E,Competition,Retail partner feedback on product performance,TMO_Delta,Accessories,,Brand_Y,,
2024-02-15 00:00:00,CROSS_CATEGORY,Asia Pacific,Brazil,Location_D,Product Quality,Product availability issues during peak season,,E-Cigarettes,,,,
2023-03-10 00:00:00,TOBACCO_CATEGORY,Asia Pacific,Italy,Location_H,Regulatory,Strong consumer interest in new heated tobacco category,TMO_Beta,E-Cigarettes,,Marlboro,,
2023-08-06 00:00:00,INFRA_MAINTENANCE,Europe,Canada,Location_A,Consumer Behavior,Customer satisfaction high with recent product improvements,,Accessories,,,,
2024-11-13 00:00:00,TOBACCO_CATEGORY,Latin America,Brazil,Location_H,Service,Service quality issues reported at retail locations,TMO_Epsilon,Heated Tobacco,,Brand_X,,
2024-08-26 00:00:00,BRAND_SOURCING,North America,UK,Location_C,Competition,Consumer switching behavior analysis shows retention improvement,,Traditional,,,Competitor_1,PMI_Brand_3
2024-02-11 00:00:00,CONSUMER_FEEDBACK,Africa,South Africa,Location_B,Regulatory,Competitor promotion impacting market share,,Traditional,IQOS,,,
2024-07-20 00:00:00,CROSS_CATEGORY,Africa,Canada,Location_E,Pricing,Price sensitivity observed among younger demographics,,Accessories,,,,
2023-11-09 00:00:00,INFRA_MAINTENANCE,Europe,Canada,Location_C,Consumer Behavior,Consumer preference shift towards premium products,,Traditional,,,,
2024-08-24 00:00:00,CROSS_CATEGORY,Europe,France,Location_B,Availability,Positive feedback on new product launch in the region,,E-Cigarettes,,,,
2024-06-12 00:00:00,CROSS_CATEGORY,Asia Pacific,Japan,Location_F,Pricing,Regulatory changes affecting product availability,,Accessories,,,,
2024-12-10 00:00:00,INFRA_MAINTENANCE,North America,USA,Location_E,Consumer Behavior,Product availability issues during peak season,,Heated Tobacco,,,,
2023-06-05 00:00:00,BRAND_SOURCING,Africa,USA,Location_G,Pricing,Consumer preference shift towards premium products,,Traditional,,,Brand_X,IQOS
2024-09-21 00:00:00,TOBACCO_CATEGORY,Africa,Australia,Location_A,Consumer Behavior,Customer reported price increase concern affecting purchase decisions,TMO_Epsilon,E-Cigarettes,,IQOS,,
2024-12-23 00:00:00,INFRA_MAINTENANCE,North America,Australia,Location_C,Product Quality,Customer reported price increase concern affecting purchase decisions,,E-Cigarettes,,,,
2023-06-24 00:00:00,BRAND_SOURCING,Europe,UK,Location_D,Pricing,Service training needs identified for retail staff,,E-Cigarettes,,,Competitor_2,IQOS
2023-09-21 00:00:00,INFRA_MAINTENANCE,Asia Pacific,Italy,Location_B,Availability,Consumer switching behavior analysis shows retention improvement,,Heated Tobacco,,,,
2024-01-15 00:00:00,CONSUMER_FEEDBACK,Latin America,Germany,Location_G,Competition,Customer satisfaction high with recent product improvements,,Traditional,IQOS,,,
2024-03-18 00:00:00,INFRA_MAINTENANCE,North America,South Africa,Location_C,Availability,Customer reported price increase concern affecting purchase decisions,,Accessories,,,,
2023-09-21 00:00:00,BRAND_SOURCING,Asia Pacific,Australia,Location_F,Regulatory,Product availability issues during peak season,,Accessories,,,Brand_A,Marlboro
2023-07-01 00:00:00,INFRA_MAINTENANCE,Europe,France,Location_B,Consumer Behavior,Customer reported price increase concern affecting purchase decisions,,Nicotine Pouches,,,,
2023-05-27 00:00:00,INFRA_MAINTENANCE,Asia Pacific,Brazil,Location_E,Service,Service training needs identified for retail staff,,Heated Tobacco,,,,
2024-12-09 00:00:00,TOBACCO_CATEGORY,Asia Pacific,Italy,Location_G,Product Quality,Stock shortage observed for premium product line,TMO_Delta,Accessories,,Brand_B,,
2023-09-13 00:00:00,CONSUMER_FEEDBACK,Europe,South Africa,Location_D,Availability,Consumer preference shift towards premium products,,Heated Tobacco,Parliament,,,
2023-10-07 00:00:00,CONSUMER_FEEDBACK,Europe,Australia,Location_C,Regulatory,New product category showing strong adoption,,Heated Tobacco,Marlboro,,,
2023-07-28 00:00:00,CONSUMER_FEEDBACK,Europe,Canada,Location_G,Pricing,Product availability issues during peak season,,Accessories,HEETS,,,
2024-03-17 00:00:00,INFRA_MAINTENANCE,Africa,Germany,Location_G,Competition,Product availability issues during peak season,,Heated Tobacco,,,,
2023-05-08 00:00:00,INFRA_MAINTENANCE,Europe,Brazil,Location_A,Regulatory,Positive feedback on new product launch in the region,,Traditional,,,,
2024-11-07 00:00:00,CONSUMER_FEEDBACK,Europe,France,Location_E,Product Quality,Strong consumer interest in new heated tobacco category,,E-Cigarettes,HEETS,,,
2023-09-25 00:00:00,INFRA_MAINTENANCE,North America,South Africa,Location_G,Product Quality,Distribution challenges in remote locations,,Traditional,,,,
2024-04-20 00:00:00,BRAND_SOURCING,Europe,UK,Location_C,Pricing,Market research indicates growth opportunity,,Nicotine Pouches,,,Brand_A,PMI_Brand_3
2023-01-29 00:00:00,INFRA_MAINTENANCE,Asia Pacific,Australia,Location_C,Service,New product category showing strong adoption,,E-Cigarettes,,,,
2023-08-15 00:00:00,BRAND_SOURCING,Africa,Australia,Location_A,Product Quality,Competitor promotion impacting market share,,Accessories,,,Brand_Z,PMI_Brand_3
2023-09-01 00:00:00,CROSS_CATEGORY,North America,Germany,Location_A,Product Quality,Positive feedback on new product launch in the region,,Nicotine Pouches,,,,
2023-03-14 00:00:00,CONSUMER_FEEDBACK,North America,USA,Location_A,Competition,Product availability issues during peak season,,Heated Tobacco,IQOS,,,
2023-02-08 00:00:00,CROSS_CATEGORY,Asia Pacific,Germany,Location_E,Service,Positive brand perception following marketing campaign,,E-Cigarettes,,,,
2024-04-22 00:00:00,BRAND_SOURCING,Latin America,Japan,Location_E,Service,New product category showing strong adoption,,Nicotine Pouches,,,Brand_X,PMI_Brand_2
2024-07-22 00:00:00,CONSUMER_FEEDBACK,Latin America,Australia,Location_C,Consumer Behavior,New product category showing strong adoption,,Nicotine Pouches,IQOS,,,
2024-04-10 00:00:00,CONSUMER_FEEDBACK,Latin America,Italy,Location_A,Competition,Retail partner feedback on product performance,,Heated Tobacco,IQOS,,,
2023-03-27 00:00:00,BRAND_SOURCING,Africa,France,Location_A,Availability,Competitive pricing pressure in premium segment,,Heated Tobacco,,,Brand_Z,Marlboro
2024-08-16 00:00:00,TOBACCO_CATEGORY,Asia Pacific,Germany,Location_C,Product Quality,Regulatory changes affecting product availability,TMO_Alpha,E-Cigarettes,,Marlboro,,
2023-07-07 00:00:00,INFRA_MAINTENANCE,Europe,Japan,Location_E,Availability,Customer satisfaction high with recent product improvements,,Heated Tobacco,,,,
2023-07-02 00:00:00,TOBACCO_CATEGORY,North America,Brazil,Location_E,Regulatory,Distribution challenges in remote locations,TMO_Beta,Traditional,,PMI_Brand_3,,
2023-04-18 00:00:00,BRAND_SOURCING,Asia Pacific,Italy,Location_B,Regulatory,Distribution challenges in remote locations,,Nicotine Pouches,,,Brand_Y,PMI_Brand_3
2023-02-08 00:00:00,TOBACCO_CATEGORY,Africa,USA,Location_E,Regulatory,Positive brand perception following marketing campaign,TMO_Alpha,Accessories,,PMI_Brand_2,,
2023-09-23 00:00:00,CONSUMER_FEEDBACK,Latin America,South Africa,Location_A,Regulatory,New product category showing strong adoption,,E-Cigarettes,Philip Morris,,,
2023-05-22 00:00:00,BRAND_SOURCING,Latin America,Germany,Location_F,Competition,Competitive pricing pressure in premium segment,,Traditional,,,Brand_B,PMI_Brand_1
2024-02-03 00:00:00,CONSUMER_FEEDBACK,North America,Australia,Location_D,Service,Service quality issues reported at retail locations,,Nicotine Pouches,Philip Morris,,,
2024-01-15 00:00:00,CROSS_CATEGORY,Africa,Germany,Location_A,Consumer Behavior,Consumer preference shift towards premium products,,Accessories,,,,
2024-07-24 00:00:00,TOBACCO_CATEGORY,Africa,UK,Location_E,Availability,Distribution challenges in remote locations,TMO_Beta,E-Cigarettes,,Brand_Y,,
2023-08-06 00:00:00,CONSUMER_FEEDBACK,North America,Italy,Location_C,Regulatory,Service quality issues reported at retail locations,,Nicotine Pouches,IQOS,,,
2024-06-04 00:00:00,CROSS_CATEGORY,Latin America,Italy,Location_A,Competition,Price sensitivity observed among younger demographics,,E-Cigarettes,,,,
2024-11-20 00:00:00,BRAND_SOURCING,North America,Australia,Location_C,Availability,Strong consumer interest in new heated tobacco category,,Nicotine Pouches,,,Brand_B,PMI_Brand_1
2023-11-25 00:00:00,TOBACCO_CATEGORY,Africa,Germany,Location_C,Pricing,Stock shortage observed for premium product line,TMO_Gamma,Accessories,,PMI_Brand_2,,
2023-07-14 00:00:00,CONSUMER_FEEDBACK,Europe,Italy,Location_A,Consumer Behavior,Customer satisfaction high with recent product improvements,,Traditional,Philip Morris,,,
2024-01-30 00:00:00,CROSS_CATEGORY,Europe,Australia,Location_D,Consumer Behavior,Strong consumer interest in new heated tobacco category,,E-Cigarettes,,,,
2023-06-25 00:00:00,BRAND_SOURCING,Europe,UK,Location_E,Service,Competitive pricing pressure in premium segment,,Nicotine Pouches,,,Brand_A,Marlboro
